Cycle, PBS ID, CYLC_BATCH_SYS_JOB_SUBMIT_TIME, CYLC_JOB_INIT_TIME, CYLC_JOB_EXIT_TIME
19800501T0000Z, 389064, 2021-07-14T08:54:34Z, 2021-07-15T03:08:42Z, 2021-07-15T05:00:04Z
19800501T0000Z, 395046, 2021-07-16T07:30:38Z, 2021-07-16T11:57:53Z, 2021-07-16T14:49:03Z
19800501T0000Z, 399666, 2021-07-19T08:46:02Z, 2021-07-20T05:16:51Z, 2021-07-20T05:17:41Z
19800501T0000Z, 401929, 2021-07-20T10:25:42Z, 2021-07-22T08:04:22Z, 2021-07-22T13:14:01Z
19800601T0000Z, 405008, 2021-07-22T13:18:12Z, 2021-07-25T12:30:08Z, 2021-07-25T17:40:29Z
19800701T0000Z, 410236, 2021-07-25T19:05:48Z, 2021-07-27T20:09:01Z, 2021-07-27T20:33:44Z
19800701T0000Z, 417073, 2021-07-28T18:04:57Z, 2021-07-29T04:02:27Z, 2021-07-29T09:30:17Z
19800801T0000Z, 418389, 2021-07-29T09:32:37Z, 2021-07-29T17:51:04Z, 2021-07-29T23:01:06Z
19800901T0000Z, 420461, 2021-07-29T23:04:35Z, 2021-07-30T04:44:05Z, 2021-07-30T09:42:02Z
19801001T0000Z, 420817, 2021-07-30T09:46:04Z, 2021-07-31T05:55:17Z, 2021-07-31T11:17:43Z
19801101T0000Z, 422817, 2021-07-31T11:19:27Z, 2021-08-01T22:58:14Z, 2021-08-02T04:10:19Z
19801201T0000Z, 424146, 2021-08-02T04:15:06Z, 2021-08-03T04:11:36Z, 2021-08-03T09:26:17Z
19810101T0000Z, 427195, 2021-08-03T09:29:14Z, 2021-08-03T10:14:44Z, 2021-08-03T15:48:17Z
19810201T0000Z, 428446, 2021-08-03T15:50:09Z, 2021-08-04T05:17:12Z, 2021-08-04T10:35:38Z
