Cycle,pp_atmos,pp_cice,pp_nemo_means,pp_nemo_rst
19500101T0000Z,23966.02,368.30,3356.41,2.06
19500501T0000Z,31098.23,599.96,14633.04,0.92
19500901T0000Z,26724.96,605.32,6950.70,0.87
19510101T0000Z,27408.70,441.19,7097.73,5.33
19510501T0000Z,29637.37,687.27,12836.14,9.34
19510901T0000Z,26676.00,854.81,10260.84,2182.11
19520101T0000Z,28960.10,536.81,7172.13,15.34
19520501T0000Z,29211.86,622.73,12083.57,5.18
19520901T0000Z,30040.66,719.63,9382.73,1755.40
19530101T0000Z,37239.99,592.24,9376.72,42.11
19530501T0000Z,40906.31,758.62,15786.45,6.73
19530901T0000Z,5721.51,813.33,9670.31,1894.94
19540101T0000Z,30639.22,461.97,6842.47,4.93
19540501T0000Z,29212.26,635.56,12914.32,5.45
19540901T0000Z,28837.87,714.55,9028.17,1784.99
19550101T0000Z,31001.81,480.20,6669.31,6.72
19550501T0000Z,33315.47,659.19,12335.80,4.96
19550901T0000Z,27435.20,767.97,9509.43,1838.84
19560101T0000Z,32605.72,506.52,7183.50,8.42
19560501T0000Z,29141.56,633.42,11860.11,4.60
19560901T0000Z,33016.57,847.28,9636.62,2105.19
19570101T0000Z,32615.53,549.10,7402.66,36.08
19570501T0000Z,28565.83,680.37,12074.03,4.25
19570901T0000Z,29364.06,700.11,9287.01,1696.52
19580101T0000Z,32636.08,549.62,7663.68,5.22
19580501T0000Z,37654.02,687.27,12380.77,13.31
19580901T0000Z,34373.74,844.73,9243.42,1875.52
19590101T0000Z,34156.49,524.66,7058.46,4.99
19590501T0000Z,28690.43,676.03,12130.94,7.55
19590901T0000Z,30320.74,792.51,9611.97,1909.73
19600101T0000Z,31232.33,491.44,7788.75,9.71
19600501T0000Z,28233.48,720.94,12820.30,7.31
19600901T0000Z,32524.59,771.68,9823.70,1832.25
19610101T0000Z,28430.29,498.48,7486.57,14.50
19610501T0000Z,32362.61,693.07,13360.30,7.50
19610901T0000Z,26734.47,695.67,9307.84,1711.23
19620101T0000Z,36741.04,546.97,7798.39,5.75
19620501T0000Z,32986.43,831.12,13140.89,12.15
19620901T0000Z,27237.96,712.35,9639.77,1777.60
19630101T0000Z,35333.62,518.68,8051.99,5.16
19630501T0000Z,37299.63,797.27,13052.87,4.05
19630901T0000Z,29269.37,772.63,9897.73,1871.45
19640101T0000Z,33026.19,501.90,7150.73,2.32
19640501T0000Z,33635.77,671.92,12387.63,6.92
19640901T0000Z,27693.05,856.94,10569.10,2071.46
19650101T0000Z,41054.70,493.02,8155.37,4.35
19650501T0000Z,34438.71,745.73,13200.67,7.55
19650901T0000Z,40204.31,891.94,10473.45,2101.37
19660101T0000Z,2.15,677.79,18.08,4.22
19660501T0000Z,33265.34,773.63,13728.02,4.00
19660901T0000Z,49528.63,1020.80,11323.26,2387.94
19670101T0000Z,32540.46,561.58,7841.61,4.32
19670501T0000Z,29046.68,654.12,13337.17,3.94
19670901T0000Z,27863.67,721.23,9688.75,1748.59
19680101T0000Z,28881.15,490.29,7383.10,2.69
19680501T0000Z,40056.01,709.74,13499.03,3.01
